Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
66,2021-05-31 16:22,Dior,Pop Smoke,7650,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
67,2021-05-31 16:34,Baarishein,Anuv Jain,207309,75,1rN9QoVxw5U7TJkyaUR8C1,0.508,0.889,7,-2.755,0,0.0862,0.0495,0.0,0.0984,0.332,135.014,238360
68,2021-05-31 16:35,unravel,TK from Ling tosite sigure,52180,73,2XpV9sHBexcNrz0Gyf3l18,0.536,0.966,6,-2.93,0,0.0557,0.12,0.0,0.0477,0.85,152.078,215707
69,2021-05-31 16:35,Baarishein,Anuv Jain,24710,0,1sfCj3Z2NO0hJuh9Go9Tff,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836
70,2021-05-31 17:27,unravel,TK from Ling tosite sigure,186445,81,1BncfTJAWxrsxyT9culBrj,0.447,0.449,2,-10.634,1,0.0376,0.934,0.961,0.0697,0.036,92.468,315427
71,2021-05-31 17:29,ブルーバード,Ikimonogakari,138710,80,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747
72,2021-05-31 18:05,Lucid Dreams,Juice WRLD,192770,82,2r6OAV3WsYtXuXjvJ1lIDi,0.905,0.647,10,-5.065,0,0.107,0.0187,0.0,0.282,0.367,130.97,190534
73,2021-06-01 07:03,Experience,Ludovico Einaudi,328695,72,2AlYncTpVHKwHb55F9lF6O,0.868,0.479,4,-6.687,0,0.445,0.703,0.0,0.102,0.776,133.928,115200
74,2021-06-01 08:32,Element,Pop Smoke,135746,72,3Byz6Mk9WCNYeGthiDVti2,0.701,0.554,1,-5.909,1,0.187,0.217,1.45e-06,0.419,0.0634,97.129,235187
75,2021-06-01 08:36,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,190534,78,6gbiTbclnHlmSIPfmF2zEc,0.828,0.434,5,-10.609,1,0.301,0.0394,0.0,0.0806,0.38,115.071,131600
76,2021-06-01 08:38,Deep End Freestyle,Sleepy Hallow,115200,74,3fGW43fnu3OHEw6ohTC2Bw,0.572,0.759,2,-4.312,1,0.0506,0.127,0.0,0.224,0.519,80.95,163733
77,2021-06-01 08:42,Beware,Big Sean,235186,78,6gbiTbclnHlmSIPfmF2zEc,0.828,0.434,5,-10.609,1,0.301,0.0394,0.0,0.0806,0.38,115.071,131600
78,2021-06-01 08:44,Gang Shit No Lame Shit,Key Glock,97341,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
79,2021-06-01 09:25,Our Song,Anne-Marie,31637,64,0PMNxtgeNSmPPp4aiA4T8F,0.474,0.792,5,-3.302,1,0.051,0.0662,1.09e-06,0.277,0.31,141.926,251831
