SongName,EndTime,ArtistName,msPlayed,SongID,Popularity
Can't Hold Us - feat. Ray Dalton,2021-06-05 18:13,Macklemore & Ryan Lewis,258342,0nrRP2bk19rLc0orkWPQk2,86
Somebody That I Used To Know,2021-06-05 18:18,Gotye,244884,15JINEqzVMv3SvJTAXAKED,83
Rolling in the Deep,2021-06-05 18:22,Adele,228093,3b34OS7148VGiURvWTYweJ,40
7 rings,2021-06-05 18:25,Ariana Grande,178626,44LTFkrvoxE2qflp8GEqKw,50
Wake Me Up,2021-06-05 18:29,Avicii,247426,6bdq6oMieSnPmcwrolEQgV,52
Love The Way You Lie,2021-06-05 18:31,Eminem,62513,6EqWTM2gxDbhqqXfcxdMv8,46
Sygrayem (Let's Play),2021-06-05 18:34,Carlos Rafael Rivera,131637,0PMNxtgeNSmPPp4aiA4T8F,64
Main Title,2021-06-05 18:36,Carlos Rafael Rivera,109896,00uY4XZhrmcr3VLHvLba10,55
Beth's Story,2021-06-05 19:31,Carlos Rafael Rivera,13506,0jmwOMMWFcLQQX7x11dOCO,45
Stereo Love,2021-06-06 13:43,Edward Maya,28353,6bdq6oMieSnPmcwrolEQgV,52
Sideways,2021-06-06 13:48,ILLENIUM,251830,44LTFkrvoxE2qflp8GEqKw,50
Morning,2021-06-06 13:51,Zara Larsson,175305,6bdq6oMieSnPmcwrolEQgV,52
I Should Quit,2021-06-06 14:06,JESSIA,5495,62G1ewSNbKaxSMqcmfgxeq,41
Beth's Story,2021-06-06 18:20,Carlos Rafael Rivera,7920,3mPt3UzwsHD5YBgui50BED,41
Main Title,2021-06-06 18:22,Carlos Rafael Rivera,119256,0Bnh732W1DVmnXtV6mhk1U,42
Beth's Story,2021-06-06 18:24,Carlos Rafael Rivera,127615,17hoQV3FJxZnJUvccgAjLF,45
Methuen Home For Children 1957,2021-06-06 18:26,Carlos Rafael Rivera,74045,49hgjLTXt8Uwa5nA7W3xmJ,40
The Scholar's Mate,2021-06-06 18:27,Carlos Rafael Rivera,78496,5iCY0TXNImK4hyKfcplQsg,69
You're Gloating,2021-06-06 18:29,Carlos Rafael Rivera,66447,5iCY0TXNImK4hyKfcplQsg,69
Training With Mr. Schaibel,2021-06-06 18:32,Carlos Rafael Rivera,184293,4RCpHnkhMmm67EKbI4aEO7,66
Am I Good Enough Now?,2021-06-06 18:33,Carlos Rafael Rivera,57752,0vR2rIVORmgeKiGIgNT0fV,79
Baarishein,2021-06-06 18:36,Anuv Jain,207309,4qu63nuBpdn0qHUHuObEj1,87
Baarishein,2021-06-06 18:37,Anuv Jain,28330,4ZtFanR9U6ndgddUvNcjcG,95
u love u (with Tate McRae),2021-06-06 18:40,blackbear,189062,6AtjimTjYWhch6tMf8f75b,0
By Your Side (feat. Tom Grennan),2021-06-06 18:44,Calvin Harris,189671,1SgUjGzbmmMOsGFTVwQ59L,76
Leave Before You Love Me (with Jonas Brothers),2021-06-06 18:47,Marshmello,154983,3fGW43fnu3OHEw6ohTC2Bw,74
good 4 u,2021-06-06 18:49,Olivia Rodrigo,178147,5K6Ssv4Z3zRvxt0P6EKUAP,85
Lost Cause,2021-06-06 18:53,Billie Eilish,212496,3fGW43fnu3OHEw6ohTC2Bw,74
seaside_demo,2021-06-06 18:56,SEB,132000,0tgBtQ0ISnMQOKorrN9HLX,73
Our Song,2021-06-06 18:59,Anne-Marie,163733,1SgUjGzbmmMOsGFTVwQ59L,76
Heartbreak Anthem (with David Guetta & Little Mix),2021-06-06 19:02,Galantis,183725,7BoobGhD4x5K96Me0hqC8Q,82
Our Song,2021-06-06 19:02,Anne-Marie,5700,1QL7nSDZCwZMnbisV4KOXt,77
Last Train Home,2021-06-06 19:02,John Mayer,8423,6ocbgoVGwYJhOv1GgI9NsF,86
seaside_demo,2021-06-06 19:04,SEB,105320,0nrRP2bk19rLc0orkWPQk2,86
Build a Bitch,2021-06-06 19:06,Bella Poarch,122772,15JINEqzVMv3SvJTAXAKED,83
t r a n s p a r e n t s o u l feat. Travis Barker,2021-06-06 19:07,WILLOW,63027,7qiZfU4dY1lWllzX7mPBI3,87
7 rings,2021-06-06 19:10,Ariana Grande,178626,7gqzrIO0qZPKkaqhIZ8ftz,0
Wake Me Up,2021-06-06 19:15,Avicii,247426,61dCUoMCg28qEBzrW6htYM,72
Love The Way You Lie,2021-06-06 19:20,Eminem,263373,3b34OS7148VGiURvWTYweJ,40
Shape of You,2021-06-06 19:24,Ed Sheeran,233712,3b34OS7148VGiURvWTYweJ,40
bad guy,2021-06-06 19:28,Billie Eilish,194087,3b34OS7148VGiURvWTYweJ,40
Rather Be (feat. Jess Glynne),2021-06-06 19:30,Clean Bandit,147621,3atqfvHwNUtXwWhhhkVBm7,57
Sygrayem (Let's Play),2021-06-07 11:43,Carlos Rafael Rivera,5658,19gCnDoMbugHhF7eMpLpe1,73
Sygrayem (Let's Play),2021-06-07 11:45,Carlos Rafael Rivera,111281,1SgUjGzbmmMOsGFTVwQ59L,76
Sygrayem (Let's Play),2021-06-07 11:46,Carlos Rafael Rivera,40868,0VgkVdmE4gld66l8iyGjgx,82
Cocaine,2021-06-07 11:48,Pink Sweat$,131500,748mdHapucXQri7IAO8yFK,90
Honesty,2021-06-07 11:50,Pink Sweat$,75329,5nujrmhLynf4yMoMtj8AQF,89
seaside_demo,2021-06-07 11:52,SEB,132000,5rK0pyEObO4DBFLy682QvR,70
Mask Off,2021-06-07 11:56,Future,204600,6AtjimTjYWhch6tMf8f75b,0
Kiss Me More (feat. SZA),2021-06-07 11:56,Doja Cat,6642,20U4dch5pfxEr6ww1S9tm4,0
Levitating (feat. DaBaby),2021-06-07 11:56,Dua Lipa,2190,3iDEWKSgZU9zm7nns4mos4,0
Mask Off - Marshmello Remix,2021-06-07 11:56,Future,8208,1vvNmPOiUuyCbgWmtc6yfm,77
Lost Cause,2021-06-07 11:59,Billie Eilish,34153,0dXNQ8dckG4eYfEtq9zcva,76
Hymn for the Weekend - Seeb Remix,2021-06-07 12:06,Coldplay,212647,55n9yjI6qqXh5F2mYvUc2y,81
The Scientist,2021-06-07 12:11,Coldplay,293312,0lYBSQXN6rCTvUZvg9S0lU,84
My Way,2021-06-07 12:15,Calvin Harris,219159,70AgPYf1Uzev7cwxSU7Bku,0
All Night,2021-06-07 12:18,The Vamps,197640,0azC730Exh71aQlOt9Zj3y,81
I Don’t Wanna Live Forever (Fifty Shades Darker),2021-06-07 12:22,ZAYN,247160,5iCY0TXNImK4hyKfcplQsg,69
Let Me Love You,2021-06-07 12:24,DJ Snake,0,079Ey5uxL04AKPQgVQwx5h,82
